input,gold,pred
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  plateau [/INST] </s>","It refers to the highland with an altitude of more than 500m, flat top, small fluctuation and relatively vast area."," #Plateau: a large, flat area of land.  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  Clark value [/INST] </s>",The mass fraction of elements in the crust.," # Clark value
The Clark value is a measure of the ratio of the mean and standard deviation of a data set. It is calculated by dividing the mean by the standard deviation. 0 < Clark value < 1. A Clark value of 1 indicates that the data set is normally distributed. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  Asthenosphere [/INST] </s>","That is, the partial melting layer of upper mantle material.", #Asthenosphere# Geoscience# Geology# Geophysics# Earth Science# Planetary Science# Asthenosphere# Geoscience# Geology# Geophysics# Earth Science# Planetary Science# Asthenosphere  
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  lithosphere [/INST] </s>",It is the hard rock part above the asthenosphere.,"  The definition of the term 'lithosphere' is: the outer solid layer of the earth, including the crust and the uppermost part of the mantle. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  syncline  [/INST] </s>","The middle is a new stratum, and the older strata appear symmetrically on both sides.","  Syncline is a geological term that refers to a fold in the Earth's crust in which the younger rocks are pushed up and over the older rocks. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  anticline [/INST] </s>","It is the upward bending of the rock stratum, forming the central part of the older rock stratum, and the rock strata on both sides become new symmetrically in turn.", # The definition of anticline is: A fold in rock in which the hanging wall is pushed over the footwall.  
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  Normal fault [/INST] </s>",The hanging wall is relatively lower and the footwall is relatively higher.," #Normal fault: A fault in which the hanging wall moves upward relative to the footwall. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  Reverse fault [/INST] </s>",The hanging wall is relatively rising and the footwall is relatively falling.,"  A reverse fault is a type of fault where the hanging wall moves down relative to the footwall. It is the opposite of a normal fault, where the hanging wall moves up relative to the footwall. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  Translational fault [/INST] </s>",The two walls are relatively staggered along the strike direction of the fault plane.," #Translational fault

1. A fault in which the rocks on either side of the fault are in contact.

2. A fault in which the rocks on either side of the fault are in contact.

3. A fault in which the rocks on either side of the fault are in contact.

4. A fault in which the rocks on either side of the fault are in contact.

5. A fault in which the rocks on either side of the fault are in contact.

6. A fault in which the rocks on either side of the fault are in contact.

7. A fault in which the rocks on either side of the fault are in contact.

8. A fault in which the rocks on either side of the fault are in contact.

9. A fault in which the rocks on either side of the fault are in contact.

10. A fault in which the rocks on either side of the fault are in contact.  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please give a short definition for the following term:  plate tectonics  [/INST] </s>","The lithospheric plate is floating on the asthenosphere and growing, moving and disappearing. As the plates move and interact with each other, various geological structures in the lithosphere are formed, called~"," 1. Plate tectonics: The theory that the Earth's outer layer is divided into large plates that move relative to one another.
  "
