prompt,label
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 The umbrella theory explaining the Earth's movement, contact, and flattening of large land plates is known as 
 A. the Coriolis effect 
 B. plate tectonics 
 C. hotspots 
 D. the Richter Magnitude Scale 
 E. the subduction zone [/INST] </s>",B
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 A long, narrow, upper atmosphere current of fast moving air is known as a 
 A. jet stream 
 B. thermophile 
 C. contrail 
 D. gust of wind 
 E. typhoon [/INST] </s>",A
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Archaeologists record the top layers first, followed by older, deeper layers to study ancient settlements and cities following the 
 A. principle of original horizontality 
 B. principle of uniformitarianism 
 C. principle of superposition 
 D. principle of uniformity 
 E. principle of lateral continuity [/INST] </s>",C
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Gravitational forces within the Earth, as well as heat and radioactive element recycling in the molten core, take place through 
 A. subduction 
 B. deflection 
 C. transformation 
 D. convection 
 E. divergent boundaries [/INST] </s>",D
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Which two gases make up the majority of the Earth's gases? 
 A. Oxygen and methane 
 B. Oxygen and propane 
 C. Nitrogen and carbon dioxide 
 D. Benzene and nitrogen 
 E. Nitrogen and oxygen [/INST] </s>",E
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Because he figured out that sedimentary rock must have been compacted and compressed, over many ages, _______ is known as the father of modern geology. 
 A. Richard Palmer 
 B. James Hutton 
 C. W 
 D. Nicholas Steno 
 E. Aubrey Hough [/INST] </s>",B
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 An ocean trench is formed along the 
 A. transform fault boundary of two colliding plates 
 B. Mid-Atlantic Ridge 
 C. distant edge boundary of two colliding plates 
 D. divergent boundary of two colliding plates 
 E. convergent boundary of two colliding plates [/INST] </s>",E
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Which of the following is the highest layer of the atmosphere? 
 A. Stratosphere 
 B. Thermosphere 
 C. Ozone 
 D. Troposphere 
 E. Mesosphere [/INST] </s>",B
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Water-layered sediments that thin to nothing at a shore or the area where first deposited are the subject of the 
 A. principle of uniformity 
 B. principle of original horizontality 
 C. second law of thermodynamics 
 D. principle of superposition 
 E. principle of lateral continuity [/INST] </s>",E
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
 <</SYS>> 
 Any solid material (rock or organic) that settles out from a liquid is known as 
 A. sediment 
 B. ash 
 C. a biofuel 
 D. granite 
 E. cinders [/INST] </s>",A
