input,gold,pred
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  Endodynamic geological processes include (). [/INST] </s>","Tectonism, earthquake, magmatism, metamorphism", #Geoscience #Geology #Endodynamic geological processes include ().  
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  The intensity of river erosion mainly depends on (), etc. [/INST] </s>","Flow velocity, rock properties that make up the riverbed, and sediment concentration in the flowing water"," #1 The intensity of river erosion mainly depends on (), etc.  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  Glacier denudation can form () and other special landforms [/INST] </s>","Enclosed valley, U-shaped valley, ice bucket, horn peak, suspended valley, edge ridge."," # Glacier denudation can form cirques, corries, hanging valleys, and other special landforms. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  There are four main forms of sea water movement. [/INST] </s>","Wave, tide, ocean current, turbidity current"," #1: There are four main forms of sea water movement. 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  Limestone is composed of () minerals. [/INST] </s>",calcite," #1: Limestone is composed of (calcium carbonate, silica, and clay minerals).  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  D is the code of (). [/INST] </s>",devonian," # D is the code of ().  Answer:  D is the code of (). 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  The way to lengthen the river is [/INST] </s>","Tracing erosion, meandering, delta formation"," #1: To lengthen a river, you can use a river lengthener.  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  The most significant zone of sea erosion is [/INST] </s>",Coastal zone," #The most significant zone of sea erosion is 
  "
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  The deposition of () marks the final stage of chemical deposition of salt lakes. [/INST] </s>",chloride, # The deposition of (halite) marks the final stage of chemical deposition of salt lakes.  
"<s> [INST] <<SYS>> 
 You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe. Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature. If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don’t know the answer to a question, please don’t share false information. 
 Please answer the questions related to geoscience. 
  <</SYS>> Please complete the following sentence:  Granite is (). [/INST] </s>",Intrusive rock," #1 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 0
#2 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 1
#3 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 2
#4 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 3
#5 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 4
#6 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 5
#7 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath the Earth's surface. 6
#8 Granite is a type of intrusive igneous rock that forms when magma cools slowly beneath"
